Register Name,Register Description,Register Address,Register Width,Register Reset Value,Register Access,Field Name,Field Description,Field Offset,Field Width,Field Reset Value,Field Access,Vista_Access_Port,Vista_Is_Trigger,Field Hw Access,Field Condition,Field Action,Field Logic Comment,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints,Field Parameter Name,Field Parameter Value,Field Parameter Description,,,,,,,,,,,
UARTCR,,,,,,UARTCR_LBE,,7,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTCR,,,,,,UARTCR_SIRLP,,2,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTCR,,,,,,UARTCR_SIREN,,1,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTCR,,,,,,UARTCR_UARTEN,,0,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTIFLS,,0x34,16,0x12,RW,UARTIFLS_RXIFLSEL,,3,2,0x2,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIFLS,,,,,,UARTIFLS_TXIFLSEL,,0,3,0x2,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,0x38,16,0x0,RW,UARTIMSC_OEIM,,10,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_BEIM,,9,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_PEIM,,8,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_FEIM,,7,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_RTIM,,6,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_TXIM,,5,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_RXIM,,4,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_DSRIM,,3,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_DCDIM,,2,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_CTSIM,,1,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTIMSC,,,,,,UARTIMSC_RIIM,,0,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,0x3C,16,0x0,RO,UARTRIS_OERIS,,10,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_BERIS,,9,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_PERIS,,8,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_FERIS,,7,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_RTRIS,,6,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_TXRIS,,5,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_RXRIS,,4,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_DSRRIS,,3,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_DCDRIS,,2,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_CTSRIS,,1,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTRIS,,,,,,UARTRIS_RIRIS,,0,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,0x40,16,0x0,RO,UARTMIS_OEMIS,,10,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_BEMIS,,9,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_PEMIS,,8,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_FEMIS,,7,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_RTMIS,,6,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_TXMIS,,5,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_RXMIS,,4,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_DSRMIS,,3,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_DCDMIS,,2,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_CTSMIS,,1,1,0x0,RO,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
UARTMIS,,,,,,UARTMIS_RIMIS,,0,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,0x44,16,0x0,WO,UARTICR_OEIC,,10,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_BEIC,,9,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_PEIC,,8,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_FEIC,,7,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_RTIC,,6,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_TXIC,,5,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_RXIC,,4,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_DSRIC,,3,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_DCDIC,,2,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_CTSIC,,1,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTICR,,,,,,UARTICR_RIIC,,0,1,0x0,WO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
